Wall time,Step,Value
1675937261.032332,1,395.9258117675781
1675937261.703607,10,285.6177978515625
1675937262.867699,20,352.4156188964844
1675937264.47127,30,327.59173583984375
1675937266.257616,40,336.5430603027344
1675937268.435055,50,356.8545227050781
1675937284.121568,60,223.4680938720703
1675937299.586323,70,295.6933898925781
1675937314.755872,80,196.20986938476562
1675937330.61719,90,218.9711151123047
1675937346.858812,100,219.66810607910156
1675937362.961062,110,202.03175354003906
1675937379.513764,120,184.49383544921875
1675937395.994538,130,156.14720153808594
1675937412.565588,140,164.13877868652344
1675937429.362974,150,123.00846099853516
1675937445.828401,160,127.5908432006836
1675937462.158695,170,130.8626251220703
1675937478.654492,180,118.16299438476562
1675937495.257017,190,116.70952606201172
1675937511.591598,200,119.94871520996094
1675937528.529852,210,116.08837890625
1675937545.044351,220,123.1021957397461
1675937561.659014,230,121.116455078125
1675937578.730381,240,119.9008560180664
1675937595.909743,250,127.75862884521484
1675937612.513477,260,122.86450958251953
1675937629.214284,270,122.46611785888672
1675937646.09255,280,116.25172424316406
1675937662.664009,290,119.60246276855469
1675937680.536899,300,122.61378479003906
1675937697.383268,310,125.67871856689453
1675937714.168234,320,136.88153076171875
1675937730.71975,330,131.81907653808594
1675937747.295271,340,128.41026306152344
1675937763.836834,350,145.69192504882812
1675937780.968613,360,144.4542694091797
1675937797.378063,370,140.76243591308594
1675937814.578745,380,137.70660400390625
1675937832.344822,390,150.7307891845703
1675937851.748446,400,165.19918823242188
1675937869.189333,410,143.1201934814453
1675937887.668668,420,142.4525146484375
1675937905.454287,430,136.24075317382812
1675937923.508223,440,129.07725524902344
1675937941.313423,450,129.7183837890625
1675937958.937937,460,129.57879638671875
1675937976.410004,470,133.08938598632812
1675937993.982355,480,122.71854400634766
1675938013.416112,490,115.35520935058594
1675938030.90265,500,124.66215515136719
1675938048.539955,510,128.22286987304688
1675938066.961585,520,124.91970825195312
1675938085.772626,530,128.02491760253906
1675938104.677511,540,95.90900421142578
1675938122.966843,550,128.387451171875
1675938141.406546,560,116.26995086669922
1675938159.362446,570,130.40789794921875
1675938177.832615,580,94.58306884765625
1675938196.647785,590,120.09734344482422
1675938214.321421,600,95.65396881103516
1675938232.384312,610,114.28250885009766
1675938251.850737,620,95.72260284423828
1675938269.729095,630,93.4966812133789
1675938287.321357,640,94.15459442138672
1675938304.099589,650,94.53584289550781
1675938320.090061,660,93.39224243164062
1675938335.882495,670,93.4658432006836
1675938351.707138,680,94.3951416015625
1675938367.755895,690,93.44122314453125
1675938383.468816,700,94.85107421875
1675938399.018453,710,93.48764038085938
1675938414.887432,720,94.79925537109375
1675938430.766477,730,112.89366912841797
1675938447.816064,740,112.12967681884766
1675938464.604229,750,113.56694030761719
1675938481.858516,760,114.20800018310547
1675938497.715593,770,114.8272705078125
1675938513.859714,780,114.364990234375
1675938529.717463,790,115.43881225585938
1675938545.532767,800,115.94043731689453
1675938561.366675,810,115.1825180053711
1675938577.179506,820,115.41497802734375
1675938593.839208,830,115.31681823730469
1675938610.168102,840,115.72374725341797
1675938626.105316,850,114.44453430175781
1675938642.32113,860,116.67880249023438
1675938657.881277,870,114.15784454345703
1675938673.329569,880,92.83158111572266
1675938689.838718,890,113.71582794189453
1675938706.032667,900,113.06381225585938
1675938722.330549,910,93.69450378417969
1675938740.11391,920,98.90385437011719
1675938756.821205,930,95.61015319824219
1675938775.250733,940,113.38288116455078
1675938792.706836,950,92.55027770996094
1675938810.619929,960,94.61250305175781
1675938829.027092,970,93.24783325195312
1675938846.040341,980,111.49190521240234
1675938864.657161,990,92.83136749267578
