Wall time,Step,Value
1675937261.032774,1,395.9258117675781
1675937261.704016,10,396.2359619140625
1675937262.868319,20,396.9490966796875
1675937264.471631,30,379.2304382324219
1675937266.257998,40,405.7080078125
1675937268.435455,50,401.00830078125
1675937284.121937,60,384.7587890625
1675937299.586753,70,376.318115234375
1675937314.756318,80,329.20806884765625
1675937330.617566,90,357.7465515136719
1675937346.859204,100,401.3646545410156
1675937362.961432,110,303.3155517578125
1675937379.514271,120,300.982177734375
1675937395.994916,130,311.9906311035156
1675937412.566104,140,312.0072937011719
1675937429.363434,150,302.6263427734375
1675937445.828869,160,222.2032928466797
1675937462.159074,170,269.4791259765625
1675937478.654885,180,231.8255157470703
1675937495.257428,190,140.78732299804688
1675937511.591993,200,191.36463928222656
1675937528.530272,210,191.95242309570312
1675937545.044815,220,306.7355651855469
1675937561.659447,230,203.9153594970703
1675937578.730795,240,184.86358642578125
1675937595.910147,250,183.44757080078125
1675937612.513871,260,240.12957763671875
1675937629.21469,270,214.21327209472656
1675937646.09296,280,180.5683135986328
1675937662.664545,290,281.2558898925781
1675937680.537337,300,211.956787109375
1675937697.383648,310,231.6631622314453
1675937714.168671,320,209.70407104492188
1675937730.720237,330,190.5445098876953
1675937747.295704,340,216.1930694580078
1675937763.837218,350,206.77996826171875
1675937780.969015,360,192.640869140625
1675937797.378483,370,195.920654296875
1675937814.579443,380,199.8232421875
1675937832.345494,390,189.93682861328125
1675937851.748894,400,228.1239013671875
1675937869.189729,410,189.8920440673828
1675937887.669132,420,244.5657958984375
1675937905.454824,430,237.28878784179688
1675937923.508715,440,214.0903778076172
1675937941.313835,450,205.6027069091797
1675937958.938341,460,192.15711975097656
1675937976.410395,470,202.9781036376953
1675937993.982826,480,158.49835205078125
1675938013.416597,490,182.87078857421875
1675938030.903115,500,209.7884979248047
1675938048.540442,510,189.98577880859375
1675938066.962026,520,229.57281494140625
1675938085.773134,530,178.34886169433594
1675938104.677945,540,157.09658813476562
1675938122.967246,550,236.72817993164062
1675938141.406929,560,158.0244598388672
1675938159.36286,570,150.06234741210938
1675938177.833123,580,142.6141815185547
1675938196.648304,590,135.68360900878906
1675938214.321882,600,135.62298583984375
1675938232.384819,610,148.9624481201172
1675938251.851279,620,150.6166229248047
1675938269.729555,630,136.10916137695312
1675938287.321777,640,122.11067199707031
1675938304.100368,650,129.4150848388672
1675938320.090447,660,141.9075469970703
1675938335.88288,670,121.96405029296875
1675938351.707649,680,120.82972717285156
1675938367.756393,690,169.4139404296875
1675938383.469213,700,119.47272491455078
1675938399.019201,710,120.62208557128906
1675938414.887823,720,122.5562515258789
1675938430.767063,730,126.49517822265625
1675938447.816539,740,125.39696502685547
1675938464.604757,750,131.8813018798828
1675938481.858903,760,123.5849838256836
1675938497.71598,770,121.30870819091797
1675938513.860095,780,122.22527313232422
1675938529.71787,790,120.74439239501953
1675938545.533171,800,131.10623168945312
1675938561.367053,810,123.25056457519531
1675938577.17989,820,125.2778091430664
1675938593.839613,830,120.60857391357422
1675938610.168547,840,121.4321060180664
1675938626.105768,850,120.884521484375
1675938642.321506,860,209.8656005859375
1675938657.881639,870,121.34466552734375
1675938673.330124,880,211.76873779296875
1675938689.839106,890,122.51771545410156
1675938706.033048,900,145.75442504882812
1675938722.331021,910,135.10829162597656
1675938740.114308,920,122.70834350585938
1675938756.821603,930,145.7486114501953
1675938775.251289,940,146.4815216064453
1675938792.707502,950,127.86970520019531
1675938810.620454,960,119.32162475585938
1675938829.027498,970,120.69098663330078
1675938846.040814,980,164.2991180419922
1675938864.657537,990,120.161865234375
