Wall time,Step,Value
1675930849.738865,1,0.0
1675930849.937848,10,0.0
1675930850.237841,20,0.0
1675930850.709002,30,0.0
1675930851.290791,40,0.0
1675930852.052306,50,0.01132597029209137
1675930870.809608,60,0.0029526534490287304
1675930889.754419,70,0.00024279688659589738
1675930910.53095,80,0.0004052784643135965
1675930930.589049,90,0.0005549372872337699
1675930950.257852,100,0.0009346168953925371
1675930971.760894,110,0.0012441298458725214
1675930993.079822,120,0.0013486417010426521
1675931014.205472,130,0.000820157234556973
1675931036.872077,140,0.002808601828292012
1675931059.998362,150,0.009741954505443573
1675931083.408913,160,0.001326085301116109
1675931106.797477,170,0.0013961991062387824
1675931130.610734,180,0.009183757938444614
1675931156.76729,190,0.004048733040690422
1675931181.460498,200,0.00558840949088335
1675931204.209376,210,0.0017155117820948362
1675931227.562041,220,0.00767067726701498
1675931251.786253,230,0.0026651581283658743
1675931275.703167,240,0.008494751527905464
1675931299.396028,250,0.0026845696847885847
1675931324.116166,260,0.009398489259183407
1675931348.731042,270,0.0026597524993121624
1675931373.791344,280,0.003600418334826827
1675931397.067919,290,0.0060704792849719524
1675931420.508472,300,0.0027274368330836296
1675931444.283744,310,0.005417041480541229
1675931467.490681,320,0.0022024926729500294
1675931490.563946,330,0.0015215130988508463
1675931513.517129,340,0.004435024224221706
1675931536.680595,350,0.0034732739441096783
1675931560.249019,360,0.0062037077732384205
1675931585.195325,370,0.00158563326112926
1675931610.591784,380,0.010520138777792454
1675931638.382404,390,0.00207351497374475
1675931666.273522,400,0.002163313329219818
1675931692.592853,410,0.0014897541841492057
1675931718.718377,420,0.0017729528481140733
1675931745.001379,430,0.0023639388382434845
1675931773.278734,440,0.003286863910034299
1675931800.024871,450,0.005272144917398691
1675931827.339849,460,0.0011171838268637657
1675931853.342855,470,0.0019713835790753365
1675931879.998453,480,0.006859897635877132
1675931906.794104,490,0.0034362105652689934
1675931933.338194,500,0.0013689601328223944
1675931961.409995,510,0.004049929790198803
1675931988.993204,520,0.0011984502198174596
1675932017.126384,530,0.0007938896305859089
1675932045.015231,540,0.0013826920185238123
1675932072.880578,550,0.0010252309730276465
1675932100.8552,560,0.000654059462249279
1675932129.120479,570,0.006899193860590458
1675932159.246877,580,0.0006726954015903175
1675932186.95051,590,0.0007362043252214789
1675932215.835782,600,0.0009679441573098302
1675932243.828115,610,0.0020443848334252834
1675932271.910046,620,0.007376407273113728
1675932300.562125,630,0.00036861334228888154
1675932329.528604,640,0.00039668899262323976
1675932358.453028,650,0.00042526237666606903
1675932386.384392,660,0.0004371335671748966
1675932415.449934,670,0.00041148060699924827
1675932443.694577,680,0.0005182467866688967
1675932471.631932,690,0.0003489491646178067
1675932499.594073,700,0.0003643244272097945
1675932528.946537,710,0.0003558451135177165
1675932556.814203,720,0.000419940915890038
1675932585.574401,730,0.00038541879621334374
1675932613.965428,740,0.0006706583662889898
1675932643.520724,750,0.0005517753306776285
1675932673.3558,760,0.0003819814883172512
1675932702.882179,770,0.000484593358123675
1675932732.442536,780,0.0007278003031387925
1675932762.969441,790,0.0002254711725981906
1675932790.674501,800,0.0004231930652167648
1675932818.892073,810,0.0009354560170322657
1675932848.834033,820,0.00024395597574766725
1675932880.366096,830,0.00043739727698266506
1675932910.227287,840,0.00047129287850111723
1675932940.723898,850,0.00033165060449391603
1675932971.536182,860,0.0004982505924999714
1675933002.02856,870,0.0004145615384913981
1675933033.493833,880,0.00031716490047983825
1675933065.364112,890,0.0001809950335882604
1675933095.733155,900,0.0002476598310749978
1675933127.669147,910,0.0004762581957038492
1675933157.287425,920,0.0005132370861247182
1675933188.066743,930,0.0009902925230562687
1675933220.010032,940,0.00022438957239501178
1675933251.349443,950,0.00039984274189919233
1675933281.690248,960,0.00029261226882226765
1675933313.090047,970,0.0005336240283213556
1675933343.64582,980,0.00036425591679289937
1675933375.168656,990,0.0004395093419589102
1675933405.30575,1000,0.0002961060090456158
1675933437.503601,1010,0.00021946126071270555
1675933468.459323,1020,0.0004174591158516705
1675933500.262458,1030,0.00013058257172815502
1675933530.783288,1040,0.00045004195999354124
1675933561.986346,1050,0.0002474415232427418
1675933594.068512,1060,0.00022565416293218732
1675933624.718053,1070,0.00038091957685537636
1675933656.91816,1080,0.0003308227751404047
1675933687.560207,1090,0.000385952735086903
1675933720.39402,1100,0.0004030752170365304
1675933751.224421,1110,0.00026975839864462614
1675933783.246496,1120,0.0002027030714089051
1675933815.250582,1130,0.0002121673314832151
1675933847.471928,1140,0.0005326286773197353
1675933879.164895,1150,0.00012187587708467618
1675933911.951688,1160,0.00021586884395219386
