CMDLINE /home/ale/.virtualenvs/pin2/bin/python dqn_cartpole.py
MEM 0.757812 1672825943.8866
MEM 18.437500 1672825943.9870
MEM 27.671875 1672825944.0873
MEM 38.355469 1672825944.1876
MEM 51.367188 1672825944.2880
MEM 58.714844 1672825944.3883
MEM 85.773438 1672825944.4886
MEM 133.687500 1672825944.5890
MEM 218.203125 1672825944.6894
MEM 232.812500 1672825944.7897
MEM 246.062500 1672825944.8900
MEM 258.726562 1672825944.9904
MEM 266.980469 1672825945.0908
MEM 272.636719 1672825945.1912
MEM 283.500000 1672825945.2915
MEM 299.929688 1672825945.3919
MEM 308.402344 1672825945.4922
MEM 309.753906 1672825945.5925
MEM 321.437500 1672825945.6929
MEM 325.265625 1672825945.7932
MEM 337.761719 1672825945.8935
MEM 347.671875 1672825945.9939
MEM 356.527344 1672825946.0942
MEM 356.781250 1672825946.1947
MEM 359.441406 1672825946.2950
MEM 361.550781 1672825946.3954
MEM 363.722656 1672825946.4957
MEM 364.871094 1672825946.5961
MEM 373.390625 1672825946.6965
MEM 390.234375 1672825946.7969
MEM 402.968750 1672825946.8973
MEM 406.167969 1672825946.9977
MEM 407.152344 1672825947.0982
MEM 408.550781 1672825947.1985
MEM 409.578125 1672825947.2989
MEM 411.449219 1672825947.3994
MEM 412.863281 1672825947.4998
MEM 418.703125 1672825947.6002
MEM 419.781250 1672825947.7007
MEM 419.980469 1672825947.8011
MEM 420.164062 1672825947.9015
MEM 420.785156 1672825948.0018
MEM 421.937500 1672825948.1021
MEM 422.031250 1672825948.2025
MEM 422.398438 1672825948.3029
MEM 423.238281 1672825948.4032
MEM 424.203125 1672825948.5036
MEM 424.746094 1672825948.6041
MEM 424.789062 1672825948.7044
MEM 425.191406 1672825948.8048
MEM 426.531250 1672825948.9051
MEM 427.195312 1672825949.0056
MEM 427.464844 1672825949.1060
MEM 427.457031 1672825949.2064
MEM 428.132812 1672825949.3068
MEM 428.441406 1672825949.4071
MEM 429.359375 1672825949.5077
MEM 429.421875 1672825949.6081
MEM 429.386719 1672825949.7085
MEM 429.722656 1672825949.8089
MEM 430.468750 1672825949.9093
MEM 431.078125 1672825950.0097
MEM 432.128906 1672825950.1101
MEM 432.171875 1672825950.2105
MEM 432.644531 1672825950.3109
MEM 432.996094 1672825950.4113
MEM 433.628906 1672825950.5116
MEM 434.582031 1672825950.6119
MEM 435.027344 1672825950.7122
MEM 435.023438 1672825950.8127
MEM 435.113281 1672825950.9131
MEM 435.863281 1672825951.0136
MEM 436.941406 1672825951.1140
MEM 437.441406 1672825951.2144
MEM 437.437500 1672825951.3148
MEM 437.496094 1672825951.4152
MEM 438.386719 1672825951.5156
MEM 439.343750 1672825951.6160
MEM 440.093750 1672825951.7164
MEM 440.078125 1672825951.8168
MEM 440.164062 1672825951.9172
MEM 441.027344 1672825952.0176
MEM 441.988281 1672825952.1180
MEM 442.488281 1672825952.2184
MEM 442.488281 1672825952.3187
MEM 442.558594 1672825952.4191
MEM 443.410156 1672825952.5194
MEM 444.351562 1672825952.6197
MEM 444.875000 1672825952.7202
MEM 444.906250 1672825952.8206
MEM 444.863281 1672825952.9209
MEM 445.402344 1672825953.0212
MEM 446.046875 1672825953.1216
MEM 447.269531 1672825953.2219
MEM 447.757812 1672825953.3223
MEM 447.765625 1672825953.4227
MEM 447.886719 1672825953.5231
MEM 448.785156 1672825953.6235
MEM 449.214844 1672825953.7239
MEM 449.609375 1672825953.8242
MEM 450.164062 1672825953.9246
MEM 450.136719 1672825954.0250
MEM 450.546875 1672825954.1255
MEM 451.097656 1672825954.2258
MEM 451.875000 1672825954.3262
MEM 452.542969 1672825954.4267
MEM 452.535156 1672825954.5271
MEM 452.503906 1672825954.6275
MEM 452.929688 1672825954.7278
MEM 453.750000 1672825954.8282
MEM 454.226562 1672825954.9286
MEM 455.167969 1672825955.0291
MEM 455.187500 1672825955.1294
MEM 455.187500 1672825955.2298
MEM 455.183594 1672825955.3302
MEM 455.164062 1672825955.4306
MEM 455.148438 1672825955.5309
MEM 455.121094 1672825955.6313
MEM 455.105469 1672825955.7316
MEM 455.093750 1672825955.8321
MEM 455.062500 1672825955.9325
MEM 455.046875 1672825956.0330
MEM 455.031250 1672825956.1334
MEM 455.011719 1672825956.2338
MEM 454.984375 1672825956.3343
MEM 455.269531 1672825956.4347
MEM 455.714844 1672825956.5351
MEM 455.699219 1672825956.6356
MEM 455.925781 1672825956.7360
MEM 456.992188 1672825956.8363
MEM 457.882812 1672825956.9367
MEM 458.320312 1672825957.0371
MEM 458.707031 1672825957.1376
MEM 458.691406 1672825957.2380
MEM 458.761719 1672825957.3384
MEM 459.515625 1672825957.4388
MEM 460.082031 1672825957.5392
MEM 460.988281 1672825957.6397
MEM 460.968750 1672825957.7401
MEM 460.957031 1672825957.8406
MEM 461.042969 1672825957.9410
MEM 461.511719 1672825958.0414
MEM 462.343750 1672825958.1418
MEM 462.867188 1672825958.2421
MEM 463.093750 1672825958.3425
MEM 463.308594 1672825958.4428
MEM 464.261719 1672825958.5432
MEM 464.640625 1672825958.6435
MEM 465.593750 1672825958.7440
MEM 465.582031 1672825958.8445
MEM 465.566406 1672825958.9450
MEM 465.589844 1672825959.0454
MEM 466.496094 1672825959.1457
MEM 466.902344 1672825959.2461
MEM 467.843750 1672825959.3465
MEM 467.812500 1672825959.4469
MEM 467.796875 1672825959.5472
MEM 468.679688 1672825959.6476
MEM 469.183594 1672825959.7480
MEM 470.273438 1672825959.8483
MEM 470.500000 1672825959.9487
MEM 470.742188 1672825960.0492
MEM 471.289062 1672825960.1496
MEM 471.972656 1672825960.2499
MEM 472.832031 1672825960.3504
MEM 472.812500 1672825960.4509
MEM 472.785156 1672825960.5514
MEM 473.308594 1672825960.6518
MEM 474.257812 1672825960.7522
MEM 474.621094 1672825960.8525
MEM 475.058594 1672825960.9528
MEM 475.023438 1672825961.0532
MEM 475.441406 1672825961.1536
MEM 476.261719 1672825961.2540
