CMDLINE /home/ale/.virtualenvs/pin2/bin/python dqn_cartpole.py
MEM 0.664062 1672830087.4948
MEM 27.230469 1672830087.5956
MEM 39.957031 1672830087.6959
MEM 58.742188 1672830087.7963
MEM 129.796875 1672830087.8966
MEM 212.117188 1672830087.9970
MEM 233.382812 1672830088.0973
MEM 255.273438 1672830088.1976
MEM 269.039062 1672830088.2980
MEM 279.214844 1672830088.3988
MEM 301.171875 1672830088.4991
MEM 309.597656 1672830088.5995
MEM 322.085938 1672830088.6999
MEM 342.312500 1672830088.8002
MEM 365.609375 1672830088.9005
MEM 378.945312 1672830089.0009
MEM 379.976562 1672830089.1013
MEM 381.683594 1672830089.2016
MEM 382.757812 1672830089.3020
MEM 382.746094 1672830089.4025
MEM 383.972656 1672830089.5028
MEM 384.894531 1672830089.6033
MEM 385.437500 1672830089.7036
MEM 385.417969 1672830089.8040
MEM 386.066406 1672830089.9044
MEM 386.851562 1672830090.0048
MEM 387.265625 1672830090.1052
MEM 387.609375 1672830090.2056
MEM 388.941406 1672830090.3061
MEM 389.796875 1672830090.4064
MEM 389.773438 1672830090.5069
MEM 391.843750 1672830090.6072
MEM 395.968750 1672830090.7076
MEM 398.289062 1672830090.8080
MEM 399.093750 1672830090.9084
MEM 399.636719 1672830091.0089
MEM 401.203125 1672830091.1093
MEM 402.332031 1672830091.2097
MEM 402.652344 1672830091.3101
MEM 403.332031 1672830091.4104
MEM 404.761719 1672830091.5107
MEM 405.375000 1672830091.6111
MEM 405.386719 1672830091.7115
MEM 406.593750 1672830091.8119
MEM 407.765625 1672830091.9122
MEM 407.773438 1672830092.0126
MEM 408.222656 1672830092.1130
MEM 409.843750 1672830092.2133
MEM 410.433594 1672830092.3138
MEM 410.460938 1672830092.4141
MEM 411.898438 1672830092.5146
MEM 413.074219 1672830092.6150
MEM 413.058594 1672830092.7158
MEM 413.585938 1672830092.8162
MEM 414.941406 1672830092.9166
MEM 415.417969 1672830093.0170
MEM 415.386719 1672830093.1174
MEM 416.226562 1672830093.2178
MEM 417.578125 1672830093.3183
MEM 418.058594 1672830093.4191
MEM 418.132812 1672830093.5195
MEM 419.433594 1672830093.6199
MEM 420.468750 1672830093.7203
MEM 420.429688 1672830093.8207
MEM 421.402344 1672830093.9211
MEM 422.335938 1672830094.0219
MEM 422.367188 1672830094.1223
MEM 423.398438 1672830094.2227
MEM 424.835938 1672830094.3231
MEM 425.414062 1672830094.4236
MEM 425.441406 1672830094.5240
MEM 426.707031 1672830094.6244
MEM 427.589844 1672830094.7248
MEM 427.886719 1672830094.8252
MEM 428.925781 1672830094.9255
