CMDLINE /home/ale/.virtualenvs/pin2/bin/python dqn_cartpole.py
MEM 488.351562 1672825452.6173
MEM 489.292969 1672825452.7176
MEM 489.695312 1672825452.8180
MEM 490.195312 1672825452.9184
MEM 490.437500 1672825453.0188
MEM 490.714844 1672825453.1192
MEM 491.628906 1672825453.2196
MEM 492.695312 1672825453.3200
MEM 493.050781 1672825453.4203
MEM 492.976562 1672825453.5206
MEM 493.765625 1672825453.6211
MEM 494.597656 1672825453.7214
MEM 495.207031 1672825453.8219
MEM 495.175781 1672825453.9223
MEM 495.460938 1672825454.0227
MEM 496.382812 1672825454.1231
MEM 497.257812 1672825454.2235
MEM 497.550781 1672825454.3240
MEM 498.144531 1672825454.4244
MEM 498.722656 1672825454.5250
MEM 500.128906 1672825454.6253
MEM 500.238281 1672825454.7258
MEM 500.207031 1672825454.8262
MEM 500.777344 1672825454.9266
MEM 501.707031 1672825455.0271
MEM 502.089844 1672825455.1274
MEM 502.542969 1672825455.2278
MEM 502.625000 1672825455.3283
MEM 502.593750 1672825455.4286
MEM 503.253906 1672825455.5290
MEM 503.582031 1672825455.6294
MEM 504.718750 1672825455.7298
MEM 505.191406 1672825455.8301
MEM 505.253906 1672825455.9305
MEM 505.234375 1672825456.0309
MEM 505.785156 1672825456.1312
MEM 506.726562 1672825456.2316
MEM 507.644531 1672825456.3319
MEM 507.656250 1672825456.4322
MEM 507.625000 1672825456.5326
MEM 508.265625 1672825456.6329
MEM 508.875000 1672825456.7333
MEM 509.515625 1672825456.8336
MEM 510.371094 1672825456.9340
MEM 510.359375 1672825457.0345
MEM 510.410156 1672825457.1348
MEM 511.312500 1672825457.2352
MEM 512.410156 1672825457.3356
MEM 512.957031 1672825457.4359
MEM 513.003906 1672825457.5363
MEM 512.980469 1672825457.6366
MEM 513.984375 1672825457.7370
MEM 514.375000 1672825457.8375
MEM 515.339844 1672825457.9379
MEM 515.410156 1672825458.0383
MEM 515.378906 1672825458.1388
MEM 515.421875 1672825458.2392
MEM 516.332031 1672825458.3396
MEM 517.152344 1672825458.4400
MEM 517.734375 1672825458.5404
MEM 517.730469 1672825458.6409
MEM 518.410156 1672825458.7413
MEM 519.183594 1672825458.8417
MEM 520.281250 1672825458.9421
MEM 520.355469 1672825459.0426
MEM 520.324219 1672825459.1430
MEM 520.789062 1672825459.2434
MEM 521.304688 1672825459.3438
MEM 522.109375 1672825459.4441
MEM 522.738281 1672825459.5445
MEM 522.726562 1672825459.6449
MEM 523.500000 1672825459.7453
MEM 524.320312 1672825459.8456
MEM 525.347656 1672825459.9461
MEM 525.304688 1672825460.0464
MEM 525.292969 1672825460.1468
MEM 525.609375 1672825460.2471
MEM 526.355469 1672825460.3476
MEM 526.914062 1672825460.4480
MEM 527.937500 1672825460.5484
MEM 527.859375 1672825460.6488
MEM 527.906250 1672825460.7491
MEM 528.023438 1672825460.8495
MEM 528.843750 1672825460.9498
MEM 529.753906 1672825461.0502
MEM 530.195312 1672825461.1506
MEM 530.265625 1672825461.2510
MEM 530.500000 1672825461.3515
MEM 530.835938 1672825461.4519
MEM 531.781250 1672825461.5523
MEM 532.882812 1672825461.6527
MEM 532.945312 1672825461.7531
MEM 532.917969 1672825461.8535
MEM 533.472656 1672825461.9540
MEM 534.402344 1672825462.0544
MEM 535.257812 1672825462.1547
MEM 535.339844 1672825462.2551
MEM 535.308594 1672825462.3555
MEM 535.855469 1672825462.4559
MEM 537.046875 1672825462.5562
MEM 537.917969 1672825462.6566
MEM 537.988281 1672825462.7570
MEM 537.957031 1672825462.8574
MEM 538.507812 1672825462.9577
MEM 539.410156 1672825463.0580
MEM 540.078125 1672825463.1584
MEM 540.558594 1672825463.2587
MEM 540.605469 1672825463.3591
MEM 540.992188 1672825463.4595
MEM 541.542969 1672825463.5599
MEM 542.472656 1672825463.6603
MEM 542.937500 1672825463.7606
MEM 542.996094 1672825463.8610
MEM 543.132812 1672825463.9614
MEM 543.945312 1672825464.0617
MEM 544.824219 1672825464.1621
MEM 545.351562 1672825464.2625
MEM 545.386719 1672825464.3629
MEM 545.511719 1672825464.4634
MEM 546.585938 1672825464.5637
MEM 547.523438 1672825464.6640
MEM 547.953125 1672825464.7645
MEM 548.011719 1672825464.8649
MEM 548.250000 1672825464.9654
MEM 548.539062 1672825465.0658
MEM 549.464844 1672825465.1661
MEM 549.867188 1672825465.2665
MEM 550.378906 1672825465.3668
MEM 550.394531 1672825465.4672
MEM 550.378906 1672825465.5676
MEM 551.183594 1672825465.6679
MEM 552.109375 1672825465.7683
MEM 552.507812 1672825465.8687
MEM 553.125000 1672825465.9690
MEM 553.105469 1672825466.0694
MEM 553.390625 1672825466.1699
MEM 554.261719 1672825466.2702
MEM 555.027344 1672825466.3705
MEM 555.671875 1672825466.4710
MEM 555.648438 1672825466.5714
MEM 555.800781 1672825466.6718
MEM 556.582031 1672825466.7722
MEM 557.378906 1672825466.8726
MEM 557.980469 1672825466.9730
MEM 558.031250 1672825467.0734
MEM 558.003906 1672825467.1738
MEM 558.570312 1672825467.2742
MEM 559.488281 1672825467.3745
MEM 559.906250 1672825467.4750
MEM 560.394531 1672825467.5754
MEM 560.679688 1672825467.6758
MEM 560.835938 1672825467.7763
MEM 561.652344 1672825467.8767
MEM 562.406250 1672825467.9771
MEM 563.011719 1672825468.0774
MEM 563.042969 1672825468.1778
MEM 563.464844 1672825468.2782
MEM 564.289062 1672825468.3785
MEM 565.179688 1672825468.4788
MEM 565.722656 1672825468.5792
MEM 565.691406 1672825468.6795
MEM 566.242188 1672825468.7799
MEM 567.175781 1672825468.8803
MEM 568.335938 1672825468.9807
MEM 568.363281 1672825469.0810
MEM 568.472656 1672825469.1814
MEM 569.566406 1672825469.2816
MEM 570.722656 1672825469.3820
MEM 570.726562 1672825469.4824
MEM 570.964844 1672825469.5828
MEM 571.671875 1672825469.6832
MEM 572.570312 1672825469.7835
MEM 573.113281 1672825469.8839
MEM 573.089844 1672825469.9843
MEM 573.691406 1672825470.0846
MEM 574.800781 1672825470.1850
MEM 575.769531 1672825470.2854
MEM 575.812500 1672825470.3858
MEM 575.781250 1672825470.4861
MEM 576.343750 1672825470.5866
MEM 577.050781 1672825470.6871
MEM 577.699219 1672825470.7875
MEM 578.203125 1672825470.8879
MEM 578.691406 1672825470.9882
MEM 578.656250 1672825471.0886
MEM 579.437500 1672825471.1889
MEM 580.390625 1672825471.2893
MEM 580.835938 1672825471.3897
MEM 580.867188 1672825471.4901
MEM 581.183594 1672825471.5906
MEM 582.058594 1672825471.6909
MEM 582.980469 1672825471.7913
MEM 583.492188 1672825471.8918
MEM 583.476562 1672825471.9921
MEM 583.597656 1672825472.0926
MEM 584.402344 1672825472.1929
MEM 585.308594 1672825472.2933
MEM 585.828125 1672825472.3936
MEM 585.796875 1672825472.4939
MEM 586.167969 1672825472.5943
MEM 586.988281 1672825472.6946
MEM 587.656250 1672825472.7950
MEM 588.183594 1672825472.8954
MEM 588.414062 1672825472.9959
MEM 588.945312 1672825473.0962
MEM 589.882812 1672825473.1966
MEM 590.312500 1672825473.2969
MEM 590.816406 1672825473.3973
MEM 590.785156 1672825473.4976
MEM 591.589844 1672825473.5980
MEM 592.527344 1672825473.6983
MEM 593.187500 1672825473.7987
MEM 593.445312 1672825473.8992
MEM 593.417969 1672825473.9996
MEM 593.972656 1672825474.1001
MEM 594.921875 1672825474.2005
MEM 596.062500 1672825474.3009
MEM 596.101562 1672825474.4014
MEM 596.070312 1672825474.5018
MEM 597.101562 1672825474.6023
MEM 597.789062 1672825474.7027
MEM 598.421875 1672825474.8032
MEM 598.457031 1672825474.9042
MEM 598.867188 1672825475.0046
MEM 599.949219 1672825475.1050
MEM 600.808594 1672825475.2054
MEM 600.843750 1672825475.3057
MEM 600.812500 1672825475.4063
MEM 601.238281 1672825475.5067
MEM 602.046875 1672825475.6071
MEM 602.960938 1672825475.7075
MEM 603.500000 1672825475.8079
MEM 603.484375 1672825475.9083
MEM 603.625000 1672825476.0087
MEM 604.429688 1672825476.1091
MEM 605.167969 1672825476.2096
MEM 605.832031 1672825476.3099
MEM 606.132812 1672825476.4104
MEM 606.101562 1672825476.5108
MEM 606.515625 1672825476.6111
MEM 607.335938 1672825476.7115
MEM 607.953125 1672825476.8119
MEM 608.550781 1672825476.9123
MEM 608.585938 1672825477.0126
MEM 608.585938 1672825477.1130
MEM 608.570312 1672825477.2133
MEM 608.542969 1672825477.3137
MEM 608.785156 1672825477.4141
MEM 608.753906 1672825477.5145
MEM 608.738281 1672825477.6149
MEM 608.722656 1672825477.7154
MEM 608.707031 1672825477.8158
MEM 608.675781 1672825477.9162
MEM 608.636719 1672825478.0166
MEM 608.628906 1672825478.1171
MEM 608.597656 1672825478.2175
MEM 608.578125 1672825478.3179
MEM 608.566406 1672825478.4183
MEM 608.531250 1672825478.5187
MEM 608.503906 1672825478.6191
MEM 608.468750 1672825478.7195
MEM 608.457031 1672825478.8199
MEM 608.425781 1672825478.9203
MEM 608.652344 1672825479.0207
MEM 608.636719 1672825479.1211
MEM 608.605469 1672825479.2214
MEM 608.574219 1672825479.3218
MEM 608.558594 1672825479.4222
MEM 608.527344 1672825479.5226
MEM 609.039062 1672825479.6230
MEM 608.941406 1672825479.7234
MEM 609.007812 1672825479.8238
MEM 608.988281 1672825479.9241
MEM 608.980469 1672825480.0245
MEM 609.093750 1672825480.1249
MEM 609.187500 1672825480.2253
MEM 609.234375 1672825480.3257
MEM 609.500000 1672825480.4261
MEM 609.554688 1672825480.5266
MEM 609.660156 1672825480.6270
MEM 610.226562 1672825480.7275
MEM 610.777344 1672825480.8279
MEM 610.761719 1672825480.9283
MEM 610.746094 1672825481.0286
MEM 610.984375 1672825481.1291
MEM 611.304688 1672825481.2296
MEM 611.718750 1672825481.3300
MEM 612.187500 1672825481.4303
MEM 612.992188 1672825481.5307
MEM 612.976562 1672825481.6311
MEM 612.960938 1672825481.7315
MEM 613.156250 1672825481.8319
MEM 613.929688 1672825481.9323
MEM 614.808594 1672825482.0327
MEM 615.539062 1672825482.1331
MEM 615.511719 1672825482.2336
MEM 615.492188 1672825482.3340
MEM 616.089844 1672825482.4344
MEM 616.984375 1672825482.5348
MEM 617.792969 1672825482.6352
MEM 618.015625 1672825482.7356
MEM 618.257812 1672825482.8360
MEM 618.585938 1672825482.9363
MEM 619.519531 1672825483.0367
MEM 619.890625 1672825483.1371
MEM 620.339844 1672825483.2374
MEM 620.308594 1672825483.3379
MEM 620.710938 1672825483.4383
MEM 621.300781 1672825483.5387
MEM 622.425781 1672825483.6391
MEM 622.851562 1672825483.7395
MEM 622.835938 1672825483.8400
MEM 622.804688 1672825483.9403
MEM 623.367188 1672825484.0407
MEM 624.300781 1672825484.1410
MEM 625.203125 1672825484.2415
MEM 625.113281 1672825484.3419
MEM 625.082031 1672825484.4423
MEM 625.628906 1672825484.5427
MEM 626.566406 1672825484.6431
MEM 627.394531 1672825484.7435
MEM 627.363281 1672825484.8438
MEM 627.496094 1672825484.9442
MEM 628.562500 1672825485.0445
MEM 630.003906 1672825485.1448
MEM 629.957031 1672825485.2452
MEM 630.253906 1672825485.3456
MEM 631.164062 1672825485.4459
MEM 632.058594 1672825485.5464
MEM 632.531250 1672825485.6468
MEM 632.503906 1672825485.7472
MEM 632.535156 1672825485.8476
MEM 633.460938 1672825485.9479
MEM 633.863281 1672825486.0483
MEM 634.773438 1672825486.1487
MEM 634.761719 1672825486.2491
MEM 634.730469 1672825486.3495
MEM 635.425781 1672825486.4499
MEM 636.187500 1672825486.5502
MEM 637.277344 1672825486.6506
MEM 637.289062 1672825486.7509
MEM 637.988281 1672825486.8513
MEM 636.488281 1672825486.9516
MEM 636.238281 1672825487.0520
